date,domain,total_comments
2015-04-14,aliexpress,582
2015-04-15,aliexpress,659
2015-04-16,aliexpress,718
2015-04-17,aliexpress,549
2015-04-18,aliexpress,316
2015-04-19,aliexpress,159
2015-04-20,aliexpress,430
2015-04-21,aliexpress,575
2015-04-22,aliexpress,609
2015-04-23,aliexpress,587
2015-04-24,aliexpress,366
2015-04-25,aliexpress,80
2015-04-26,aliexpress,39
2015-04-27,aliexpress,756
2015-04-28,aliexpress,648
2015-04-29,aliexpress,549
2015-04-30,aliexpress,317
2015-05-01,aliexpress,503
2015-05-02,aliexpress,261
2015-05-03,aliexpress,228
2015-05-04,aliexpress,485
2015-05-05,aliexpress,483
2015-05-06,aliexpress,649
2015-05-06,ozon,9
2015-05-07,aliexpress,535
2015-05-08,aliexpress,452
2015-05-09,aliexpress,508
2015-05-10,aliexpress,290
2015-05-11,aliexpress,592
2015-05-12,aliexpress,576
2015-05-13,aliexpress,532
2015-05-13,ozon,14
2015-05-14,aliexpress,592
2015-05-15,aliexpress,549
2015-05-16,aliexpress,277
2015-05-17,aliexpress,479
2015-05-18,aliexpress,571
2015-05-19,aliexpress,493
2015-05-20,aliexpress,336
2015-05-21,aliexpress,556
2015-05-22,aliexpress,552
2015-05-22,ozon,21
2015-05-23,aliexpress,160
2015-05-24,aliexpress,120
2015-05-25,aliexpress,555
2015-05-26,aliexpress,527
2015-05-27,aliexpress,478
2015-05-28,aliexpress,590
2015-05-29,aliexpress,559
2015-05-30,aliexpress,290
2015-05-31,aliexpress,173
2015-06-01,aliexpress,730
2015-06-02,aliexpress,626
2015-06-03,aliexpress,524
2015-06-04,aliexpress,544
2015-06-04,ozon,0
2015-06-05,aliexpress,503
2015-06-06,aliexpress,276
2015-06-07,aliexpress,198
2015-06-08,aliexpress,636
2015-06-09,aliexpress,493
2015-06-10,aliexpress,609
2015-06-11,aliexpress,527
2015-06-12,aliexpress,415
2015-06-13,aliexpress,225
2015-06-14,aliexpress,237
2015-06-15,aliexpress,580
2015-06-16,aliexpress,647
2015-06-17,aliexpress,529
2015-06-18,aliexpress,567
2015-06-19,aliexpress,558
2015-06-20,aliexpress,304
2015-06-21,aliexpress,220
2015-06-22,aliexpress,532
2015-06-23,aliexpress,435
2015-06-24,aliexpress,567
2015-06-25,aliexpress,637
2015-06-26,aliexpress,709
2015-06-27,aliexpress,150
2015-06-28,aliexpress,104
2015-06-29,aliexpress,439
2015-06-30,aliexpress,521
2015-07-01,aliexpress,343
2015-07-01,ozon,29
2015-07-02,aliexpress,387
2015-07-03,aliexpress,436
2015-07-04,aliexpress,318
2015-07-05,aliexpress,200
2015-07-06,aliexpress,399
2015-07-07,aliexpress,576
2015-07-08,aliexpress,382
2015-07-09,aliexpress,439
2015-07-10,aliexpress,484
2015-07-11,aliexpress,78
2015-07-13,aliexpress,562
2015-07-14,aliexpress,623
2015-07-15,aliexpress,513
2015-07-16,aliexpress,665
2015-07-17,aliexpress,601
2015-07-18,aliexpress,363
2015-07-19,aliexpress,329
2015-07-20,aliexpress,519
2015-07-21,aliexpress,594
2015-07-22,aliexpress,597
2015-07-23,aliexpress,498
2015-07-24,aliexpress,528
2015-07-25,aliexpress,488
2015-07-26,aliexpress,396
2015-07-27,aliexpress,634
2015-07-28,aliexpress,618
2015-07-29,aliexpress,392
2015-07-30,aliexpress,473
2015-07-31,aliexpress,645
2015-08-01,aliexpress,273
2015-08-02,aliexpress,391
2015-08-03,aliexpress,509
2015-08-04,aliexpress,489
2015-08-05,aliexpress,536
2015-08-06,aliexpress,518
2015-08-07,aliexpress,485
2015-08-08,aliexpress,359
2015-08-09,aliexpress,374
2015-08-10,aliexpress,593
2015-08-11,aliexpress,552
2015-08-12,aliexpress,601
2015-08-13,aliexpress,510
2015-08-14,aliexpress,654
2015-08-15,aliexpress,310
2015-08-16,aliexpress,238
2015-08-17,aliexpress,589
2015-08-18,aliexpress,513
2015-08-19,aliexpress,674
2015-08-20,aliexpress,620
2015-08-21,aliexpress,671
2015-08-22,aliexpress,271
2015-08-23,aliexpress,359
2015-08-24,aliexpress,618
2015-08-25,aliexpress,475
2015-08-26,aliexpress,474
2015-08-26,ozon,38
2015-08-27,aliexpress,585
2015-08-28,aliexpress,594
2015-08-29,aliexpress,388
2015-08-30,aliexpress,233
2015-08-31,aliexpress,416
2015-09-01,aliexpress,546
2015-09-02,aliexpress,418
2015-09-03,aliexpress,470
2015-09-04,aliexpress,558
2015-09-05,aliexpress,257
2015-09-06,aliexpress,159
2015-09-07,aliexpress,80
2015-09-08,aliexpress,654
2015-09-09,aliexpress,591
2015-09-10,aliexpress,471
